编号|歌名|歌手|语别|类别|拼音|字数|笔画|新歌|版本|原唱音轨|音量|点击率|时长
60076072|爱过的你还在我心里[尹熙水]|中国最强音|1|1|AGDNHZWXL|9|313311342|1|0|0|60|1|
60076073|自由[尹熙水]|中国最强音|1|1|ZY|2|32|1|0|0|60|1|
60076074|SorrySeemsToBeTheHardestWord[彭博]|中国最强音|4|1|SSTBTHW|7||1|0|0|60|1|
60076075|OopsIDidItAgain[新声驾到]|中国最强音|4|1|OIDIA|5||1|0|0|60|1|
60076076|YouGiveLoveABadName[新声驾到]|中国最强音|4|1|YGLABN|6||1|0|0|60|1|
60076077|北京旋律[新声驾到]|中国最强音|1|1|BJXL|4|2443|1|0|0|60|1|
60076078|那些年[新声驾到]|中国最强音|1|1|NXN|3|523|1|0|0|60|1|
60076079|WalkingByMyself[易超]|中国最强音|4|1|WBM|3||1|0|0|60|1|
60076080|野百合也有春天[易超/唐艺/刘瑞琦/Twins/王力军]|中国最强音|1|1|YBHYYCT|7|2135111|1|0|0|60|1|
60076081|不爱[曾一鸣]|中国最强音|1|1|BA|2|13|1|0|0|60|1|
60076082|也许明天[曾一鸣]|中国最强音|1|1|YXMT|4|5421|1|0|0|60|1|
60076083|伤痕[曾一鸣]|中国最强音|1|1|SH|2|34|1|0|0|60|1|
60076084|当爱已成往事[曾一鸣]|中国最强音|1|1|DAYCWS|6|235131|1|0|0|60|1|
60076085|心动[曾一鸣]|中国最强音|1|1|XD|2|41|1|0|0|60|1|
60076086|我要快乐[曾一鸣]|中国最强音|1|1|WYKL|4|3143|1|0|0|60|1|
60076087|我要我们在一起[曾一鸣]|中国最强音|1|1|WYWMZYQ|7|3133111|1|0|0|60|1|
60076088|火烧的寂寞[曾一鸣]|中国最强音|1|1|HSDJM|5|44344|1|0|0|60|1|
60076089|袖手旁观[曾一鸣]|中国最强音|1|1|XSPG|4|4345|1|0|0|60|1|
60076090|黑色幽默[曾一鸣]|中国最强音|1|1|HSYM|4|2322|1|0|0|60|1|
60076091|回家[李佳薇]|中国最强音|1|1|HJ|2|24|1|0|0|60|1|
60076092|我是一只小小鸟[李佳薇]|中国最强音|1|1|WSYZXXN|7|3212223|1|0|0|60|1|
60076093|千年之恋[李佳薇/曾一鸣/陈一玲]|中国最强音|1|1|QNZL|4|3344|1|0|0|60|1|
60076094|对你爱不完[李昀声]|中国最强音|1|1|DNABW|5|53314|1|0|0|60|1|
60076095|爱笑的眼睛[李鼎]|中国最强音|1|1|AXDYJ|5|33322|1|0|0|60|1|
60076096|飞机场的十点半[李鼎]|中国最强音|1|1|FJCDSDB|7|5113124|1|0|0|60|1|
60076097|世界唯一的你[杨承熹]|中国最强音|1|1|SJWYDN|6|122133|1|0|0|60|1|
60076098|TakeMeToTheStar[林军]|中国最强音|4|1|TMTTS|5||1|0|0|60|1|
60076099|北京一夜[林军]|中国最强音|1|1|BJYY|4|2414|1|0|0|60|1|
60076100|天高地厚[林军]|中国最强音|1|1|TGDH|4|1411|1|0|0|60|1|
60076101|太阳[林军]|中国最强音|1|1|TY|2|15|1|0|0|60|1|
60076102|爱情三十六计[林军]|中国最强音|1|1|AQSSLJ|6|341144|1|0|0|60|1|
60076103|离歌[林军]|中国最强音|1|1|LG|2|41|1|0|0|60|1|
60076104|勇敢一点[林军/薛晓光]|中国最强音|1|1|YGYD|4|5512|1|0|0|60|1|
60076105|新世纪[林文静]|中国最强音|1|1|XSJ|3|415|1|0|0|60|1|
60076106|被遗忘的时光[林秀憬]|中国最强音|1|1|BYWDSG|6|424322|1|0|0|60|1|
60076107|傻瓜[栗锦]|中国最强音|1|1|SG|2|33|1|0|0|60|1|
60076108|只爱高跟鞋[栗锦/汤琦/林文静/刘鹏远]|中国最强音|1|1|ZAGGX|5|23421|1|0|0|60|1|
60076109|怒放的生命[沈根龙]|中国最强音|1|1|NFDSM|5|54333|1|0|0|60|1|
60076110|我不知道发生了什么[温蕊尔]|中国最强音|1|1|WBZDFSLSM|9|313453533|1|0|0|60|1|
60076111|It'sMyLife[熊汝霖]|中国最强音|4|1|IML|3||1|0|0|60|1|
60076112|MackTheKnife[熊汝霖]|中国最强音|4|1|MTK|3||1|0|0|60|1|
60076113|当我想你的时候[王珊珊]|中国最强音|1|1|DWXNDSH|7|2313323|1|0|0|60|1|
60076114|海阔天空[王珊珊]|中国最强音|1|1|HKTK|4|4414|1|0|0|60|1|
60076115|白天不懂夜的黑[王珊珊/莫艳琳/秦妮]|中国最强音|1|1|BTBDYDH|7|3114432|1|0|0|60|1|
60076116|花房姑娘[玩具船长/金贵晟/邓育彬/刘明辉]|中国最强音|1|1|HFGN|4|1455|1|0|0|60|1|
60076117|Don'tBreakMyHeart[秦妮]|中国最强音|4|1|DBMH|4||1|0|0|60|1|
60076118|再回首[秦妮]|中国最强音|1|1|ZHS|3|124|1|0|0|60|1|
60076119|城里的月光[秦妮]|中国最强音|1|1|CLDYG|5|12332|1|0|0|60|1|
60076120|有多少爱可以重来[秦妮]|中国最强音|1|1|YDSAKYCL|8|13231531|1|0|0|60|1|
60076121|死心塌地[秦妮]|中国最强音|1|1|SXTD|4|1411|1|0|0|60|1|
60076122|爱就一个字[秦妮]|中国最强音|1|1|AJYGZ|5|34134|1|0|0|60|1|
60076123|爱的代价[秦妮]|中国最强音|1|1|ADDJ|4|3333|1|0|0|60|1|
60076124|跟往事干杯[秦妮]|中国最强音|1|1|GWSGB|5|23111|1|0|0|60|1|
60076125|可以不流泪[老五]|中国最强音|1|1|KYBLL|5|15144|1|0|0|60|1|
60076126|想念你[老五]|中国最强音|1|1|XNN|3|133|1|0|0|60|1|
60076127|SetFireToTheRain[艾怡良]|中国最强音|4|1|SFTTR|5||1|0|0|60|1|
60076128|Wonderland[艾怡良]|中国最强音|4|1|W|1||1|0|0|60|1|
60076129|你是我的Superman[艾怡良]|中国最强音|1|1|NSWDS|5|3233|1|0|0|60|1|
60076130|印地安老斑鸠[艾怡良]|中国最强音|1|1|YDALBJ|6|314113|1|0|0|60|1|
60076131|情人的眼泪[艾怡良]|中国最强音|1|1|QRDYL|5|43324|1|0|0|60|1|
60076132|改变自己[艾怡良]|中国最强音|1|1|GBZJ|4|5435|1|0|0|60|1|
60076133|普通朋友[艾怡良]|中国最强音|1|1|PTPY|4|4531|1|0|0|60|1|
60076134|薇多莉亚的秘密[艾怡良]|中国最强音|1|1|WDLYDMM|7|1311334|1|0|0|60|1|
60076135|BadBoy[艾怡良/叶铮/张薪瑞/吴申梅]|中国最强音|4|1|BB|2||1|0|0|60|1|
60076136|新不了情[邓育彬]|中国最强音|1|1|XBLQ|4|4154|1|0|0|60|1|
60076137|Baby I love you[金贵晟]|中国最强音|4|1|BILY|4||1|0|0|60|1|
60076138|I believe I can fly[金贵晟]|中国最强音|4|1|IBICF|5||1|0|0|60|1|
60076139|You raise me up[金贵晟]|中国最强音|4|1|YRMU|4||1|0|0|60|1|
60076140|从开始到现在[金贵晟]|中国最强音|1|1|CKSDXZ|6|315111|1|0|0|60|1|
60076141|对不起我爱你[金贵晟]|中国最强音|1|1|DBQWAN|6|511333|1|0|0|60|1|
60076142|愚人码头[金贵晟]|中国最强音|1|1|YRMT|4|2314|1|0|0|60|1|
60076143|阿里郎[金贵晟]|中国最强音|1|1|ALL|3|524|1|0|0|60|3433|
60076144|ILookToYou[闵百慧]|中国最强音|4|1|ILTY|4||1|0|0|60|1|
60076145|掉了[闵百慧]|中国最强音|1|1|DL|2|15|1|0|0|60|1|
60076146|凤凰[阿兰]|中国最强音|1|1|FH|2|33|1|0|0|60|1|
60076147|呼唤[阿兰]|中国最强音|1|1|HH|2|22|1|0|0|60|1|
60076148|我愿意[阿兰/宾俊杰/莫沉]|中国最强音|1|1|WYY|3|314|1|0|0|60|1|
60076149|三天三夜[陈一玲]|中国最强音|1|1|STSY|4|1114|1|0|0|60|1|
60076150|不要乱说[陈一玲]|中国最强音|1|1|BYLS|4|1134|1|0|0|60|1|
60076151|告别的时代[陈一玲]|中国最强音|1|1|GBDSD|5|32323|1|0|0|60|1|
60076152|失恋无罪[陈一玲]|中国最强音|1|1|SLWZ|4|3412|1|0|0|60|1|
60076153|女爵[陈一玲]|中国最强音|1|1|NJ|2|53|1|0|0|60|1|
60076154|开门见山[陈一玲]|中国最强音|1|1|KMJS|4|1422|1|0|0|60|1|
60076155|征服[陈一玲]|中国最强音|1|1|ZF|2|33|1|0|0|60|1|
60076156|爱之初体验[陈一玲]|中国最强音|1|1|AZCTY|5|34435|1|0|0|60|1|
60076157|背叛[陈一玲]|中国最强音|1|1|BP|2|24|1|0|0|60|1|
60076158|记得[陈一玲]|中国最强音|1|1|JD|2|43|1|0|0|60|1|
60076159|倔强[零食组合]|中国最强音|1|1|JQ|2|35|1|0|0|60|1|
60076160|家在东北[韩传忠]|中国最强音|1|1|JZDB|4|4112|1|0|0|60|1|
60076161|最炫民族风[韩雷/韩传忠/孟凡鹏/龙飞龙泽]|中国最强音|1|1|ZXMZF|5|24543|1|0|0|60|1|
60076162|小太阳[鲍丹]|中国最强音|1|1|XTY|3|215|1|0|0|60|1|
60076163|一个人跳舞[黄夕倍/熊汝霖/林秀憬/大春子]|中国最强音|1|1|YGRTW|5|13323|1|0|0|60|1|
60076164|Opera2[黄泓彬]|中国最强音|4|1|OE|2||1|0|0|60|1|
60076165|新月[黄泓彬]|中国最强音|1|1|XY|2|43|1|0|0|60|1|
60076166|龙的传人[默客人声]|中国最强音|1|1|LDCR|4|1333|1|0|0|60|1|
70101549|闯|五月天|1|1|C|1|4|1|1|1|4027|0|00:00
70101890|ALRIGHT|蜜雪薇琪|1|1|A|1|0|1|1|1|4327|0|00:00
70102346|ANGEL|陈冠希|1|1|A|1|0|1|1|1|4630|0|00:00
70102347|BLUE|陶晶莹|1|1|B|1|0|1|1|1|4527|0|00:00
70104806|后悔(演)|刘德华|2|1|HH|2|34|1|1|1|6656|1|00:00
70105855|ERICA|侧田|2|1|E|1|0|1|1|1|4835|0|00:00
70108009|ANGEL|T RUSH|1|1|A|1|0|1|1|1|3925|0|00:00
70109607|变|彭羚|2|1|B|1|4|0|1|1|4634|0|00:00
70110050|悔|潘美辰|1|1|H|1|4|0|1|1|4536|0|00:00
70110143|ANGEL|赵咏华|1|1|A|1|0|0|1|1|4533|0|00:00
70110704|海|羽泉|1|1|H|1|4|0|1|1|4634|0|00:00
70111272|ANGEL(演)|莫文蔚|4|1|A|1|0|0|1|1|4339|0|00:00
70117121|家|郭公芳|1|1|J|1|4|0|1|0|6050|0|00:00
70122343|BUDDY|可米小子|1|1|B|1|0|0|1|1|4736|0|00:00
70130219|今夜你会不会来(演)|谭咏麟|2|1|JYNHBHL|7|3433131|0|1|0|4642|2|00:00
70150425|海|蟑螂合唱团|1|1|H|1|4|0|1|1|4232|0|00:00
70151071|BUTTERFLY|李雨寰|1|1|B|1|0|0|1|1|3927|0|00:00
70153388|歌|江明学|1|1|G|1|1|0|1|0|6656|0|00:00
70154139|IMATK|佚名|1|4|I|1|0|0|1|1|3527|0|00:00
70154665|等(演)|范晓萱|1|1|D|1|3|0|1|1|4935|0|00:00
70157464|海|王凡瑞|1|1|H|1|4|0|1|0|4228|0|00:00
70158410|AITAI|蜜雪薇琪|1|1|A|1|0|0|1|1|4336|0|00:00
70158727|KO|林俊杰|1|1|K|1|0|0|1|1|4634|0|00:00
70158885|EVERYDAY|和田裕美|2|1|E|1|0|0|1|1|3929|0|00:00
70160645|别|丁文琪|1|1|B|1|2|0|1|1|4629|0|00:00
70161815|ANGEL|林帆|4|1|A|1|0|0|1|1|4939|0|00:00
70163580|FERGALICIOUS|Fergie|4|1|F|1|0|0|1|1|5234|0|00:00
70400904|猜(演)|胡彦斌|1|1|C|1|3|0|1|1|3828|0|00:00
70401201|等(演)|张敬轩|2|1|D|1|3|0|1|1|4636|0|00:00
70401439|赶(演)|薛凯琪|1|1|G|1|1|0|1|1|4030|0|00:00
70401469|绝|张崇德/张崇基|1|1|J|1|5|0|1|1|4838|0|00:00
70403615|ANGEL|林子祥|2|1|A|1|0|0|1|1|4939|0|00:00
70408725|HELLO|王杰|2|1|H|1|0|0|1|1|5444|0|00:00
70410710|敖包相会|萨日娜/腾格尔|1|8|ABXH|4|1313|0|1|1|3828|1|00:00
70415852|GOODBYE(演)|陈晓东|1|1|G|1|0|0|1|1|4030|0|00:00
70415898|纯|张信哲|1|1|C|1|5|0|1|1|3727|0|00:00
70420131|等(演)|光良|2|1|D|1|3|0|1|1|4939|0|00:00
70423097|风|张杰|1|1|F|1|3|0|1|1|3424|0|00:00
70424145|性爱讲述老百姓自己的故事|佚名|1|200|XAJSLBXZJDGS|12|434111535311|0|1|1|4030|1|00:00
70425505|HEROS|三角COOL/张靓颖|1|4|H|1|0|0|1|1|3525|0|00:00
70501721|嘿|2女|1|1|H|1|2|0|1|1|4836|0|00:00
70505237|GIRLFRIEND|AVRIL LAVIGNE|4|1|G|1|0|0|1|1|4029|0|00:00
70510491|EVERYTHING|辛晓琪|1|1|E|1|0|0|1|1|4534|0|00:00
70517109|AMANI(演)|BEYOND|2|1|A|1|0|0|1|1|4630|0|00:00
70520170|BABY|谭咏麟|2|1|B|1|0|0|1|1|4942|0|00:00
70521577|哭(演)|林忆莲|2|1|K|1|2|0|1|0|4842|0|00:00
70525866|魂|阿信|1|1|H|1|1|0|1|1|3930|0|00:00
70530093|JEALOUSY(演)|陈慧娴|2|1|J|1|0|0|1|0|3728|0|00:00
70533046|FOREVER|张智成|1|1|F|1|0|0|1|1|4437|0|00:00
70533292|红|张国荣|2|1|H|1|5|0|1|1|6656|0|00:00
70535738|ANGELINE(演)|陶喆|1|1|A|1|0|0|1|1|4732|0|00:00
70536994|ASK(演)|陈慧琳|2|1|A|1|0|0|1|1|5238|0|00:00
70538069|ANGEL(演)|陶喆|1|1|A|1|0|0|1|1|4535|0|00:00
70540179|ILLUSION(演)|林峰|2|1|I|1|0|0|1|0|3932|0|00:00
70558005|喜欢你(演)|BEYOND/黄耀明|2|1|XHN|3|153|0|1|1|4433|1|00:00
70559304|BABY|D Porter|4|4|B|1|0|0|1|1|4737|0|00:00
70565933|ANGEL|Lionel Richie|4|1|A|1|0|0|1|1|4334|0|00:00
70567700|ANGEL|SARAH MCLACHLAN|4|1|A|1|0|0|1|1|6950|0|00:00
70571530|HERO(演)|RubberBand|2|1|H|1|0|0|1|1|4433|0|00:00
70800097|BOOM|ENERGY|1|1|B|1|0|0|1|1|4343|0|00:00
70800105|EVERYTHING(演)|辛晓琪|1|1|E|1|0|0|1|1|4845|0|00:00
70800580|嗨|SWEETY|1|1|H|1|2|0|1|1|4343|0|00:00
70800599|GRACE|黄志玮|1|1|G|1|0|0|1|1|4646|0|00:00
70800742|FOREVER|LINDA/JUNJIN|1|4|F|1|0|0|1|1|4845|0|00:00
70800744|FIRE|FIRE|1|1|F|1|0|0|1|1|4743|0|00:00
70800803|CRAZY(演)|BAD|1|1|C|1|0|0|1|1|4443|0|00:00
70800980|E=MC2|陈升|1|1|E|1|0|0|1|1|4343|0|00:00
70801118|2046|李泉|1|1|ELSL|1|0|0|1|1|4752|0|00:00
70801832|狗|季欣霈|1|1|G|1|3|0|1|1|4642|0|00:00
70802073|DNA|五月天|1|1|D|1|0|0|1|1|4042|0|00:00
70802175|乖|马蕊|1|1|G|1|3|0|1|1|4649|0|00:00
70802288|天路|韩红|1|1|TL|2|12|0|1|1|4862|1|00:00
70802437|FANTASY|丁小芹|1|1|F|1|0|0|1|1|4542|0|00:00
70802998|家(演)|王菲菲|1|1|J|1|4|0|1|1|4754|0|00:00
70803048|DANGEROUS|高凌风|1|1|D|1|0|0|1|1|4444|0|00:00
70804086|高原红|容中尔甲|1|8|GYH|3|415|0|1|1|4543|1|00:00
70804227|小草|佚名|1|400|XC|2|21|0|1|1|5656|1|00:00
70805347|特务J|蔡依林|1|1|TWJ|3|33|0|1|1|4445|1|00:00
70805810|雪域魂|容中尔甲|1|8|XYH|3|111|0|1|1|4042|1|00:00
70806149|黄玫瑰|黄灿|1|1|HMG|3|111|0|1|1|5660|1|00:00
70806221|蒙古人|腾格尔|1|8|MGR|3|113|0|1|1|5252|1|00:00
70807160|冰雨(演)|刘德华|1|1|BY|2|41|0|1|1|4647|2|00:00
70807637|HAPPY|许慧欣|1|1|H|1|0|0|1|0|4436|0|00:00
70807643|HELLO|赵薇|1|1|H|1|0|0|1|1|4659|0|00:00
70807644|光(演)|王栎鑫|1|1|G|1|2|0|1|1|5848|0|00:00
70807645|光|刘若英|1|1|G|1|2|0|1|0|4949|0|00:00
70807652|该(演)|花儿乐队|1|1|G|1|4|0|1|1|3935|0|00:00
70807658|海|张震岳|1|1|H|1|4|0|1|1|4046|0|00:00
70807659|Hurt|张栋梁|1|1|H|1|0|0|1|0|4646|0|00:00
70807663|HONEY|曾宝仪|1|1|H|1|0|0|1|1|4646|0|00:00
70807684|HONEY|爱戴|1|1|H|1|0|0|1|0|5448|0|00:00
70807690|烦|林晓培|1|1|F|1|4|0|1|1|4040|0|00:00
70807697|FREE|陶喆|1|1|F|1|0|0|1|1|4954|0|00:00
70807698|飞|宋祖英|1|8|F|1|5|0|1|1|4346|0|00:00
70807705|FOREVER|金贤政|1|1|F|1|0|0|1|1|4444|0|00:00
70807711|FREE|张玉华|1|1|F|1|0|0|1|1|5458|0|00:00
70807715|GOODBYE|郭静|1|1|G|1|0|0|1|1|4339|0|00:00
70807716|GOODBYE|蔡依林|1|1|G|1|0|0|1|1|4442|0|00:00
70807717|GOODBYE|TAE|1|1|G|1|0|0|1|1|4745|0|00:00
70807718|GIRL|林志颖|1|1|G|1|0|0|1|1|4748|0|00:00
70807719|GHOST|四分卫|1|1|G|1|0|0|1|1|3940|0|00:00
70807725|风(演)|张伟文|1|1|F|1|3|0|1|1|4042|0|00:00
70807727|风|解晓东|1|1|F|1|3|0|1|1|4644|0|00:00
70807728|风|方炯镔|1|1|F|1|3|0|1|1|4648|0|00:00
70807729|风|范晓萱|1|1|F|1|3|0|1|1|5452|0|00:00
70807734|焚|周治平|1|1|F|1|1|0|1|1|4542|0|00:00
70807735|飞|王喆|1|1|F|1|5|0|1|1|4647|0|00:00
70807737|飞|覃飞宇|1|1|F|1|5|0|1|1|3939|0|00:00
70807738|飞|潘蓉|1|1|F|1|5|0|1|0|4232|0|00:00
70807739|枫|周杰伦|1|1|F|1|1|0|1|1|4040|0|00:00
70807741|脸|王菲|1|1|L|1|3|0|1|1|4444|0|00:00
70807743|狼|齐秦|1|1|L|1|3|0|1|1|4345|0|00:00
70807744|狼|林志颖|1|1|L|1|3|0|1|1|4642|0|00:00
70807750|LYDIA|F.I.R|1|1|L|1|0|0|1|1|4645|0|00:00
70807752|LEAVE|孙燕姿|1|1|L|1|0|0|1|0|5454|0|00:00
70807755|LOVE|张学友|1|1|L|1|0|0|1|1|4745|0|00:00
70807756|LOVE|萧亚轩|1|1|L|1|0|0|1|1|4946|0|00:00
